agent_id,o_zone_id,d_zone_id,volume,travel_time,node_sequence,o_node_id,d_node_id
1,1,2,347.31,3.315708129,1;547;548;2,1,2
2,1,3,390.81,4.486007595,1;547;549;3,1,3
3,1,4,79.33806311,6.16594831,1;547;549;550;4,1,4
4,1,4,125.1719369,6.135374394,1;547;548;550;4,1,4
5,1,5,373.73,7.620257374,1;547;549;551;5,1,5
6,1,6,199.7,5.993574653,1;547;548;552;6,1,6
7,1,7,21.28564305,8.483364953,1;547;549;550;553;7,1,7
8,1,7,10.36714099,8.452791037,1;547;548;550;553;7,1,7
9,1,7,88.03721595,8.416463787,1;547;548;552;553;7,1,7
10,1,8,96.23,9.618415266,1;547;548;552;435;554;8,1,8
11,1,8,0,12.11617629,1;547;548;618;434;619;554;8,1,8
12,1,9,39.53,12.67119295,1;547;548;552;435;554;625;555;9,1,9
13,1,9,0,14.5888161,1;547;548;550;553;496;556;555;9,1,9
14,1,10,13.88641546,11.28820545,1;547;549;550;553;496;556;10,1,10
15,1,10,6.812912185,11.25763153,1;547;548;550;553;496;556;10,1,10
16,1,10,55.02067236,11.22130428,1;547;548;552;553;496;556;10,1,10
17,1,11,1.694868815,15.14683737,1;547;549;550;560;558;557;11,1,11
18,1,11,2.191778133,15.05071741,1;547;548;550;553;496;556;557;11,1,11
19,1,11,13.61235707,15.01439016,1;547;548;552;553;496;556;557;11,1,11
20,1,11,4.447875917,15.11626345,1;547;548;550;560;558;557;11,1,11
21,1,11,2.073120065,15.08129133,1;547;549;550;553;496;556;557;11,1,11
22,1,12,10.92570105,12.94700099,1;547;549;550;560;558;12,1,12
23,1,12,16.78429895,12.91642707,1;547;548;550;560;558;12,1,12
24,1,13,13.04025859,16.07923494,1;547;549;550;560;558;491;559;13,1,13
25,1,13,0,16.86444756,1;547;549;551;563;564;493;562;559;13,1,13
26,1,13,19.93974141,16.04866103,1;547;548;550;560;558;491;559;13,1,13
27,1,14,48.76202184,9.574714943,1;547;549;550;560;14,1,14
28,1,14,75.54797816,9.544141027,1;547;548;550;560;14,1,14
29,1,15,28.62675187,12.30708337,1;547;549;550;560;561;15,1,15
30,1,15,44.03324813,12.27650945,1;547;548;550;560;561;15,1,15
31,1,16,10.94468183,14.19649423,1;547;549;551;563;562;16,1,16
