,0
0,2.1196496
1,2.0443363
2,1.7512541
3,1.7273943
4,1.8329091
5,1.8232098
6,1.722104
7,1.7947974
8,2.3078268
9,1.8585379
10,1.7560198
11,1.7047234
12,1.7259331
13,1.8187423
14,1.9257646
15,1.7776976
16,1.7875319
17,1.8417388
18,1.7669061
19,1.8047454
20,1.8103995
21,1.745117
22,1.9454116
23,1.753099
24,2.0795362
25,1.8035214
26,1.9737537
27,1.8124133
28,1.943425
29,1.800391
30,1.8453653
31,1.7223653
32,1.7063848
33,1.672658
34,1.5991533
35,1.6003759
36,1.6120634
37,1.5748711
38,1.6067064
39,1.5582614
40,1.5687923
41,1.5690581
42,1.5704048
43,1.579726
44,1.575855
45,1.5988916
46,1.5866342
47,1.6217997
48,1.619619
49,1.6682048
50,1.659091
51,1.7046509
52,1.6564503
53,1.8671105
54,1.6556636
55,7.238612
56,1.7592945
57,1.7181364
58,1.7641647
59,1.7595905
60,1.7882851
61,1.7564961
62,1.8426545
63,1.7503054
64,2.0564365
65,1.8792677
66,1.8083577
67,1.9125807
68,1.8531427
69,1.8386998
70,1.8849878
71,2.0008407
72,1.8666139
73,1.8578777
74,1.7821991
75,1.9473579
76,1.79966
77,1.8894382
78,1.7367122
79,1.9651783
80,1.749351
81,1.8680906
82,1.7133372
83,2.6081715
84,1.6929135
85,2.2113564
86,1.7664816
87,1.8534577
88,1.7362328
89,1.9318322
90,1.6864924
91,2.3668365
92,1.7339733
93,-11.6610365
94,1.782943
95,0.05940634
96,1.721405
97,1.9707046
98,1.676193
99,1.8084242
